photo_id,date,phase,phase_num
20250917.JPG,2025-09-17,t,2
20250918.JPG,2025-09-18,p,1
20250919.JPG,2025-09-19,p,1
20250920.JPG,2025-09-20,o,0
20250921.JPG,2025-09-21,o,0
20250926.JPG,2025-09-26,o,0
20250928.JPG,2025-09-28,o,0
20250929.JPG,2025-09-29,p,1
20250930.JPG,2025-09-30,p,1
20251004.JPG,2025-10-04,p,1
20251006.JPG,2025-10-06,p,1
20251011.JPG,2025-10-11,t,2
20251014.JPG,2025-10-14,t,2
